TabellarischeAuswertung von: 01.11.2023 00:00:00 bis: 20.11.2023 00:00:00;;;;;
Sps_datum;Trocknung-Durchfluss  7A Netz 700.1 [m³/min];Trocknung-Durchfluss  7B Netz 800.1 [m³/min];Trocknung-Durchfluss 7A Netz 700.5 [m³/min];Trocknung-Durchfluss 7A Netz 700.6 [m³/min];Trocknung-Durchfluss 7C Netz 900.1 [m³/min]
03.11.2023 01:37:21;NaN;88,73;47,60;86,71;15,37
03.11.2023 01:52:21;NaN;22,75;35,44;54,00;17,16
03.11.2023 02:07:21;NaN;18,16;37,26;55,87;12,55
03.11.2023 02:22:21;NaN;49,01;43,01;73,78;12,02
03.11.2023 02:37:22;NaN;53,09;45,51;79,23;32,61
03.11.2023 02:52:22;NaN;41,54;44,76;79,98;18,24
03.11.2023 03:07:22;NaN;99,89;47,52;86,60;17,90
03.11.2023 03:22:22;NaN;101,99;51,79;95,34;20,64
03.11.2023 03:37:22;NaN;104,80;60,66;111,56;33,03
03.11.2023 03:52:22;NaN;82,91;49,23;90,34;27,78
03.11.2023 04:07:22;NaN;76,55;45,46;79,14;12,33
03.11.2023 04:22:22;NaN;86,56;46,82;82,10;14,59
03.11.2023 04:37:22;NaN;67,16;45,60;79,59;22,19
03.11.2023 04:52:22;NaN;86,55;50,95;96,75;36,24
03.11.2023 05:07:22;NaN;68,21;53,93;99,06;32,60
03.11.2023 05:22:22;NaN;103,61;55,63;105,71;28,01
03.11.2023 05:37:22;NaN;66,15;45,67;84,38;25,20
03.11.2023 05:52:22;NaN;94,68;50,86;95,19;25,62
03.11.2023 06:07:22;NaN;96,78;50,71;92,62;22,20
03.11.2023 06:22:22;NaN;91,72;50,13;90,50;30,65
03.11.2023 06:37:22;NaN;92,95;54,12;104,83;42,76
03.11.2023 06:52:22;NaN;98,71;60,10;117,61;35,66
03.11.2023 07:07:22;NaN;91,73;58,14;112,69;38,62
03.11.2023 07:22:22;NaN;90,52;50,99;94,05;21,96
03.11.2023 07:37:22;NaN;95,47;52,43;100,80;21,72
03.11.2023 07:52:22;NaN;93,07;58,27;110,77;30,20
03.11.2023 08:07:22;NaN;70,94;50,49;95,58;23,93
03.11.2023 08:22:22;NaN;76,50;56,10;105,11;28,96
03.11.2023 08:37:22;NaN;80,39;57,90;120,15;36,77
03.11.2023 08:52:22;NaN;116,00;79,65;137,65;22,07
03.11.2023 09:07:22;NaN;82,99;60,17;119,21;22,61
03.11.2023 09:22:22;NaN;43,26;48,96;86,86;15,10
03.11.2023 09:37:22;NaN;36,41;58,55;119,39;26,40
03.11.2023 09:52:22;NaN;65,35;47,20;83,74;18,58
03.11.2023 10:07:22;NaN;82,11;51,94;95,63;27,22
03.11.2023 10:22:22;NaN;77,27;57,12;110,91;19,08
03.11.2023 10:37:22;NaN;105,71;59,35;117,47;25,41
03.11.2023 10:52:22;NaN;113,79;57,39;113,77;19,78
03.11.2023 11:07:22;NaN;105,09;60,17;120,58;41,01
03.11.2023 11:22:22;NaN;52,71;46,25;80,52;24,49
03.11.2023 11:37:22;NaN;52,18;45,79;78,94;32,24
03.11.2023 11:52:22;NaN;87,87;51,35;94,67;22,41
03.11.2023 12:07:22;NaN;47,06;53,77;101,09;14,61
03.11.2023 12:22:22;NaN;93,25;56,96;113,42;40,07
03.11.2023 12:37:23;NaN;77,45;55,37;107,97;19,58
03.11.2023 12:52:23;NaN;94,16;61,73;126,37;39,06
03.11.2023 13:07:23;NaN;92,42;56,13;109,45;28,06
03.11.2023 13:22:23;NaN;97,81;53,61;104,68;44,48
03.11.2023 13:37:23;NaN;103,90;54,23;108,91;22,50
03.11.2023 13:52:23;NaN;114,02;56,91;114,03;25,57
03.11.2023 14:07:23;NaN;85,92;48,27;91,98;16,18
03.11.2023 14:22:23;NaN;116,01;53,30;105,77;33,32
03.11.2023 14:37:23;NaN;97,65;49,27;96,39;47,83
03.11.2023 14:52:23;NaN;85,36;50,93;95,84;35,15
03.11.2023 15:07:23;NaN;93,00;49,36;94,63;19,93
03.11.2023 15:22:23;NaN;107,05;53,11;106,40;28,67
03.11.2023 15:37:23;NaN;105,27;51,38;103,62;52,49
03.11.2023 15:52:23;NaN;70,43;45,14;84,37;30,71
03.11.2023 16:07:23;NaN;45,93;47,33;89,82;20,21
03.11.2023 16:22:23;NaN;113,81;52,90;108,59;34,79
03.11.2023 16:37:23;NaN;105,66;50,69;104,14;36,62
03.11.2023 16:52:23;NaN;83,81;57,50;119,13;16,95
03.11.2023 17:07:23;NaN;72,39;56,57;115,85;22,81
03.11.2023 17:22:23;NaN;69,09;49,94;94,00;20,56
03.11.2023 17:37:23;NaN;64,75;45,88;84,93;31,59
03.11.2023 17:52:23;NaN;88,33;52,08;100,10;35,39
03.11.2023 18:07:23;NaN;110,14;44,55;81,52;32,83
03.11.2023 18:22:23;NaN;49,77;36,29;65,72;12,36
03.11.2023 18:37:23;NaN;51,31;42,31;80,74;31,72
03.11.2023 18:52:23;NaN;91,78;49,74;96,71;23,08
03.11.2023 19:07:23;NaN;72,09;50,76;96,93;23,78
03.11.2023 19:22:23;NaN;43,28;44,08;77,87;30,33
03.11.2023 19:37:23;NaN;83,18;50,45;98,66;30,72
03.11.2023 19:52:23;NaN;100,22;48,73;92,07;19,35
03.11.2023 20:07:23;NaN;69,84;44,28;81,04;25,91
03.11.2023 20:22:23;NaN;49,03;43,66;79,21;32,65
03.11.2023 20:37:23;NaN;73,04;45,49;83,78;34,04
03.11.2023 20:52:23;NaN;72,45;47,10;91,97;20,47
03.11.2023 21:07:23;NaN;94,11;49,19;92,52;31,01
03.11.2023 21:22:23;NaN;93,11;52,25;101,37;19,14
03.11.2023 21:37:23;NaN;80,49;48,19;88,40;19,97
03.11.2023 21:52:23;NaN;78,18;49,78;92,30;30,96
03.11.2023 22:07:23;NaN;84,58;50,19;97,68;24,40
03.11.2023 22:22:23;NaN;51,46;45,90;83,21;19,25
03.11.2023 22:37:23;NaN;93,09;48,79;90,85;16,18
03.11.2023 22:52:23;NaN;85,56;57,11;114,70;19,99
03.11.2023 23:07:23;NaN;73,26;50,66;96,14;46,84
03.11.2023 23:22:24;NaN;60,15;43,54;76,72;17,80
03.11.2023 23:37:24;NaN;84,42;49,13;93,24;18,39
03.11.2023 23:52:24;NaN;43,36;41,25;74,91;21,50
04.11.2023 00:07:24;NaN;65,75;48,29;95,56;32,40
04.11.2023 00:22:24;NaN;85,24;50,70;98,73;26,74
04.11.2023 00:37:24;NaN;47,65;46,03;85,44;16,22
04.11.2023 00:52:24;NaN;47,54;43,29;79,30;24,75
04.11.2023 01:07:24;NaN;64,75;42,47;76,94;17,33
04.11.2023 01:22:24;NaN;85,68;48,74;93,43;14,74
04.11.2023 01:37:24;NaN;84,18;48,70;92,97;31,33
04.11.2023 01:52:24;NaN;59,95;44,20;83,09;29,57
04.11.2023 02:07:24;NaN;87,96;48,10;90,16;35,93
04.11.2023 02:22:24;NaN;31,20;36,84;65,05;13,52
04.11.2023 02:37:24;NaN;37,78;30,56;54,62;21,11
04.11.2023 02:52:24;NaN;34,17;34,93;62,16;9,30
04.11.2023 03:07:24;NaN;33,20;33,52;54,99;31,48
04.11.2023 03:22:24;NaN;71,88;42,65;75,41;24,62
04.11.2023 03:37:24;NaN;66,65;45,93;85,12;30,85
04.11.2023 03:52:24;NaN;69,59;49,79;90,10;23,65
04.11.2023 04:07:24;NaN;97,05;48,99;94,61;40,81
04.11.2023 04:22:24;NaN;75,11;50,32;94,46;32,80
04.11.2023 04:37:24;NaN;85,26;51,34;96,65;23,79
04.11.2023 04:52:24;NaN;63,58;47,93;93,28;30,48
04.11.2023 05:07:24;NaN;84,99;47,88;91,69;18,40
04.11.2023 05:22:24;NaN;49,03;44,11;79,64;34,25
04.11.2023 05:37:24;NaN;52,57;42,51;77,97;18,39
